Index,Title,Date,URL
공지,[ 국립공주병원 ] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.12.26,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11610&b_name=notice_board
공지,[ 용인정신병원 ] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.12.20,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11604&b_name=notice_board
공지,[ 계요병원 ] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.12.20,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11602&b_name=notice_board
공지,[ 아주대학교병원] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.12.16,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11589&b_name=notice_board
공지,[ 계양구정신건강복지센터 ] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.11.28,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11547&b_name=notice_board
공지,[ 인천 참사랑병원] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.11.27,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11542&b_name=notice_board
공지,[ 중요공지 ] 2024년 중독정신간호사 자격 갱신 안내,2024.10.18,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11453&b_name=notice_board
공지,2024년도 정신간호사회 보수교육 연간일정 수정공지(현재 2024.10.8),2024.10.08,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11425&b_name=notice_board
공지,[중요공지] 정신건강간호사 슈퍼바이저 자격(증) 발급 및 유지조건,2024.03.28,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=10232&b_name=notice_board
공지,"[중요공지] 2024년 온라인 보수교육 ""변화하는 정신건강 환경과 통합적 정신간호 전략"" 정신건강전문요원 개별과정 인정 신청 방법",2024.01.24,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=10066&b_name=notice_board
공지,정신간호사회 회원 가입 방법 안내,2020.06.12,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=6266&b_name=notice_board
603,[ 국립공주병원 ] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.12.26,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11610&b_name=notice_board
602,[ 용인정신병원 ] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.12.20,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11604&b_name=notice_board
601,[ 계요병원 ] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.12.20,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11602&b_name=notice_board
600,[ 아주대학교병원] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.12.16,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11589&b_name=notice_board
599,[ 계양구정신건강복지센터 ] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.11.28,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11547&b_name=notice_board
598,[ 인천 참사랑병원] 2025년 정신건강간호사 2급 수련생 모집 공고,2024.11.27,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11542&b_name=notice_board
597,"한국동기면담협회 5차 정기모임 ""동기면담적 싸이코 드라마기법의 활용""",2024.11.15,https://www.kpmhna.or.kr/sub5/5_1.php?mode=view&number=11518&b_name=notice_board
