Index,Title,Date,URL
7480,"질병관리청, 감염병·미래의료 등 R&D 투자 확대(12.26.목)새글",2024-12-26,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726778
7479,(관계부처합동) 제10차 사회관계장관회의 개최(12.26.)새글,2024-12-26,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726777
7478,"[12.27.금.조간] 고령화로 인한 질병부담 지속 증가, 3년간 만성질환 진료비 연 8.4% ..새글",2024-12-26,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726772
7477,"질병관리청장, 알레르기질환 예방관리를 위한 아토피·천식 교육정보센터 현장 방문(1..새글",2024-12-24,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726773
7476,"질병관리청, 「주간 건강과 질병」 국제적 학술지로 발돋움하기 위해 영문 누리집 개편..새글",2024-12-23,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726761
7475,[12.23.월.조간] 지역사회건강조사 2024년 결과 발표새글,2024-12-22,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726760
7474,"질병관리청, 권익위 청렴도 평가 우수기관 달성(12.20.금)새글",2024-12-20,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726743
7473,인플루엔자 유행주의보 발령(12.19.목),2024-12-19,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726759
7472,[12.19.목.행사시작(13시)이후] 100만 명 바이오 빅데이터 구축 본격 착수,2024-12-19,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726738
7471,"[12.20.금.조간] 비타민D, 노년기 근감소증 예방에도 효과 있어",2024-12-19,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726736
7470,[12.19.목.행사시작(14시)이후)] 건강조사 발전 방향 논의 위한 제7차 건강한 사회 포..,2024-12-19,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726735
7469,코로나19 후유증 조사·멀티오믹스 연구 합동 포럼 개최(12.18.수),2024-12-18,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726729
7468,[12.18.수.행사시작(10시40분)이후] 손상·위해데이터 연계로 질병관리청-한국소비자원..,2024-12-18,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726728
7467,"동물인플루엔자인체감염증, 페스트 등 예방 위해 ’25년 1분기 중점·검역관리지역 지..",2024-12-17,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726723
7466,2024년 국가기후변화 대응 건강분야 유공 표창 (12.13.금),2024-12-13,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726703
7465,2024년 감염병 매개체 관리 평가회 개최(12.12.목),2024-12-12,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726681
7464,제18차 한·일·중 감염병 예방관리포럼 및 제7차 한·일·중 공동심포지엄 참석(12.1..,2024-12-10,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726677
7463,건강한 소통으로 국민 안전 지킨다(12.9.월),2024-12-09,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726673
7462,"질병관리청, 찾아가는 현장 서비스로 국가 생물안전관리 역량 강화(12.6.금)",2024-12-06,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726664
7461,[12.6.금.행사시작(15시)이후] 인수공통감염병 대응 전략 논의 위해 정부 및 민간전문..,2024-12-06,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726663
7460,"[12.5.목.행사시작(13시20분)이후] 질병관리청, 지자체, 감염병전문병원 평시 협력 강..",2024-12-05,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726640
7459,[12.6.금.조간] 국가예방접종 백신 수급 불안 대비 비축 중장기 계획('24-'28) 마련,2024-12-05,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726639
7458,"올해 코로나19 백신 65세 이상 465만 명 접종, 더 늦기 전에 안심하고 접종하세요.(12..",2024-12-04,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726634
7457,호흡기세포융합바이러스 감염증 6세 미만 영유아 중심 입원환자 증가세(12.4.수),2024-12-04,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726633
7456,"[12.4.수.행사시작(13시30분)이후] 급성심장정지 환자 생존율 및 뇌기능회복률, 코로나..",2024-12-04,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726632
7455,[12.3.화.행사시작(8시30분)이후] 미해결 질환 극복을 위한 '2024 병원기반 인간 마이..,2024-12-03,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726623
7454,[12.3.화.행사시작(10시)이후] 국민건강영양조사 2023년 결과 발표,2024-12-03,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726622
7453,「감염병의 예방 및 관리에 관한 법률」 국회 본회의 통과(12.2.월),2024-12-02,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726620
7452,「보건의료기본법」 12.2일 국회 본회의 통과(12.2.월),2024-12-02,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726618
7451,"[12.3.화.조간] 장내기생충 실태 조사 결과 전년 대비 소폭 증가, 전반적 감소추세는 ..",2024-12-02,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726606
7450,"[12.2.월.조간]질병청, ‘선천성 이상각화증’ 등 66개 희귀질환 국가관리대상으로 신..",2024-12-01,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&act=view&list_no=726605
